iter	Passed	Remaining
0	13	15317
1	26	14695
2	40	14795
3	52	14543
4	67	14910
5	81	14951
6	95	15033
7	107	14823
8	120	14745
9	134	14717
10	146	14641
11	161	14702
12	174	14687
13	187	14608
14	200	14562
15	213	14540
16	227	14612
17	241	14613
18	255	14657
19	269	14674
20	283	14656
21	295	14584
22	308	14522
23	321	14490
24	333	14440
25	346	14413
26	359	14370
27	371	14328
28	385	14338
29	399	14340
30	412	14332
31	425	14293
32	437	14252
33	450	14226
34	465	14262
35	487	14508
36	500	14466
37	513	14433
38	526	14407
39	538	14374
40	551	14347
41	565	14333
42	578	14308
43	591	14289
44	603	14249
45	616	14220
46	629	14202
47	643	14196
48	656	14180
49	674	14253
50	687	14243
51	699	14201
52	713	14181
53	725	14153
54	738	14128
55	742	13939
56	755	13917
57	768	13896
58	780	13866
59	795	13873
60	808	13860
61	821	13848
62	833	13818
63	846	13791
64	860	13791
65	874	13799
66	889	13809
67	902	13791
68	915	13771
69	928	13752
70	941	13742
71	954	13718
72	969	13727
73	981	13705
74	995	13692
75	1008	13677
76	1020	13655
77	1033	13632
78	1045	13611
79	1059	13602
80	1072	13589
81	1087	13594
82	1101	13592
83	1115	13585
84	1128	13568
85	1141	13547
86	1153	13529
87	1167	13513
88	1179	13490
89	1192	13478
90	1206	13467
91	1219	13449
92	1232	13440
93	1245	13420
94	1258	13405
95	1270	13385
96	1284	13370
97	1299	13376
98	1321	13459
99	1335	13443
100	1348	13427
101	1361	13412
102	1373	13387
103	1385	13365
104	1399	13353
105	1413	13344
106	1426	13334
107	1439	13313
108	1451	13292
109	1465	13280
110	1477	13258
111	1490	13243
112	1504	13233
113	1519	13239
114	1533	13224
115	1546	13209
116	1558	13190
117	1571	13170
118	1583	13147
119	1597	13137
120	1611	13129
121	1624	13118
122	1637	13103
123	1651	13093
124	1664	13075
125	1677	13063
126	1690	13042
127	1703	13025
128	1716	13013
129	1731	13015
130	1744	13000
131	1757	12982
132	1769	12958
133	1781	12936
134	1794	12921
135	1807	12901
136	1820	12886
137	1833	12871
138	1845	12851
139	1857	12833
140	1870	12812
141	1882	12796
142	1895	12777
143	1908	12761
144	1966	13047
145	1988	13085
146	2001	13073
147	2014	13050
148	2026	13031
149	2041	13022
150	2054	13004
151	2066	12983
152	2079	12963
153	2091	12944
154	2105	12928
155	2118	12911
156	2131	12895
157	2144	12882
158	2157	12865
159	2170	12844
160	2182	12826
161	2196	12815
162	2216	12839
163	2232	12836
164	2246	12825
165	2258	12802
166	2270	12781
167	2283	12762
168	2295	12743
169	2308	12726
170	2321	12704
171	2334	12690
172	2348	12679
173	2361	12660
174	2373	12642
175	2387	12628
176	2401	12620
177	2416	12610
178	2429	12594
179	2441	12574
180	2455	12562
181	2468	12545
182	2481	12528
183	2494	12511
184	2506	12493
185	2519	12475
186	2532	12461
187	2546	12446
188	2559	12429
189	2572	12415
190	2584	12396
191	2597	12379
192	2611	12365
193	2625	12355
194	2639	12346
195	2653	12335
196	2666	12318
197	2679	12303
198	2692	12286
199	2705	12268
200	2717	12250
201	2730	12230
202	2743	12216
203	2756	12201
204	2769	12186
205	2782	12171
206	2796	12160
207	2810	12147
208	2825	12140
209	2841	12138
210	2855	12126
211	2868	12111
212	2881	12095
213	2894	12076
214	2907	12063
215	2923	12059
216	2953	12112
217	2966	12099
218	2979	12081
219	2992	12064
220	3005	12049
221	3019	12036
222	3034	12027
223	3056	12046
224	3068	12028
225	3081	12011
226	3082	11950
227	3095	11933
228	3108	11917
229	3130	11936
230	3144	11922
231	3157	11907
232	3171	11895
233	3185	11884
234	3198	11869
235	3211	11852
236	3224	11836
237	3237	11821
238	3253	11815
239	3268	11806
240	3280	11789
241	3294	11774
242	3306	11756
243	3319	11741
244	3333	11728
245	3346	11713
246	3360	11698
247	3373	11685
248	3385	11665
249	3397	11648
250	3410	11631
251	3424	11618
252	3436	11601
253	3450	11587
254	3466	11581
255	3481	11574
256	3495	11559
257	3508	11543
258	3521	11529
259	3533	11511
260	3546	11496
261	3560	11484
262	3573	11468
263	3588	11458
264	3602	11447
265	3615	11430
266	3629	11418
267	3642	11403
268	3655	11388
269	3670	11377
270	3685	11369
271	3698	11352
272	3711	11336
273	3724	11322
274	3737	11308
275	3751	11293
276	3763	11277
277	3777	11263
278	3790	11248
279	3803	11232
280	3816	11218
281	3829	11203
282	3842	11187
283	3855	11172
284	3868	11157
285	3883	11148
286	3902	11149
287	3916	11136
288	3930	11124
289	3943	11110
290	3956	11094
291	3970	11081
292	3984	11069
293	3998	11057
294	4011	11042
295	4024	11026
296	4038	11014
297	4052	11000
298	4065	10985
299	4080	10975
300	4095	10966
301	4109	10954
302	4121	10936
303	4134	10921
304	4147	10906
305	4160	10889
306	4173	10874
307	4184	10856
308	4199	10844
309	4211	10828
310	4225	10815
311	4239	10801
312	4251	10784
313	4264	10768
314	4279	10758
315	4293	10747
316	4306	10733
317	4319	10716
318	4332	10701
319	4345	10687
320	4358	10671
321	4371	10656
322	4384	10641
323	4396	10625
324	4410	10613
325	4423	10596
326	4436	10583
327	4450	10570
328	4463	10555
329	4477	10542
330	4493	10535
331	4507	10522
332	4520	10507
333	4533	10493
334	4546	10476
335	4559	10462
336	4572	10446
337	4585	10432
